Team Name,Arena Name,Arena Location,Seating Capacity,Opening Year,City,State,lat,long
Atlanta Hawks,State Farm Arena,"Atlanta, Georgia","18,118",1999.0,Atlanta, Georgia,33.7489924,-84.3902644
Boston Celtics,TD Garden,"Boston, Massachusetts","18,624",1995.0,Boston, Massachusetts,42.3602534,-71.0582912
Brooklyn Nets,Barclays Center,"Brooklyn, New York","17,732",2012.0,Brooklyn, New York,40.6501024,-73.9495829
Charlotte Hornets,Spectrum Center,"Charlotte, North Carolina","19,077",2005.0,Charlotte, North Carolina,35.2272086,-80.8430827
Chicago Bulls,United Center,"Chicago, Illinois","20,917",1994.0,Chicago, Illinois,41.8755616,-87.6244212
Cleveland Cavaliers,Rocket Mortgage Fieldhouse,"Cleveland, Ohio","19,432",1994.0,Cleveland, Ohio,41.5051613,-81.6934446
Dallas Mavericks,American Airlines Center,"Dallas, Texas","19,200",2001.0,Dallas, Texas,32.7762719,-96.7968559
Denver Nuggets,Pepsi Center,"Denver, Colorado","19,520",1999.0,Denver, Colorado,39.7392364,-104.9848623
Detroit Pistons,Little Caesars Arena,"Detroit, Michigan","20,491",2017.0,Detroit, Michigan,42.3315509,-83.0466403
Golden State Warriors,Chase Center,"San Francisco, California","18,064",2019.0,San Francisco, California,37.7790262,-122.4199061
Houston Rockets,Toyota Center,"Houston, Texas","18,055",2003.0,Houston, Texas,29.7589382,-95.3676974
Indiana Pacers,Bankers Life Fieldhouse,"Indianapolis, Indiana","17,923",1999.0,Indianapolis, Indiana,39.7683331,-86.1583502
Los Angeles Clippers,Staples Center,"Los Angeles, California","19,068",1999.0,Los Angeles, California,34.0536909,-118.242766
Los Angeles Lakers,Staples Center,"Los Angeles, California","19,068",1999.0,Los Angeles, California,34.0536909,-118.242766
Memphis Grizzlies,FedEx Forum,"Memphis, Tennessee","17,794",2004.0,Memphis, Tennessee,35.1490215,-90.0516285
Miami Heat,American Airlines Arena,"Miami, Florida","19,600",1999.0,Miami, Florida,25.7741728,-80.19362
Milwaukee Bucks,Fiserv Forum,"Milwaukee, Wisconsin","17,500",2018.0,Milwaukee, Wisconsin,43.0349931,-87.922497
Minnesota Timberwolves,Target Center,"Minneapolis, Minnesota","18,978",1990.0,Minneapolis, Minnesota,44.9772995,-93.2654692
New Orleans Pelicans,Smoothie King Center,"New Orleans, Louisiana","16,867",1999.0,New Orleans, Louisiana,29.9499323,-90.0701156
New York Knicks,Madison Square Garden,"New York City, New York","19,812",1968.0,New York City, New York,40.7127281,-74.0060152
Oklahoma City Thunder,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203",2002.0,Oklahoma City, Oklahoma,35.4729886,-97.5170536
Orlando Magic,Amway Center,"Orlando, Florida","18,846",2010.0,Orlando, Florida,28.5421109,-81.3790304
Philadelphia 76ers,Wells Fargo Center,"Philadelphia, Pennsylvania","20,478",1996.0,Philadelphia, Pennsylvania,39.9527237,-75.1635262
Phoenix Suns,Talking Stick Resort Arena,"Phoenix, Arizona","18,055",1992.0,Phoenix, Arizona,33.4484367,-112.0741417
Portland Trail Blazers,Moda Center,"Portland, Oregon","19,441",1995.0,Portland, Oregon,45.5202471,-122.6741949
Sacramento Kings,Golden 1 Center,"Sacramento, California","17,583",2016.0,Sacramento, California,38.5810606,-121.4938951
San Antonio Spurs,AT&T Center,"San Antonio, Texas","18,418",2002.0,San Antonio, Texas,29.4246002,-98.4951405
Toronto Raptors,Scotiabank Arena,"Toronto, Ontario","19,800",1999.0,Toronto, Ontario,43.6534817,-79.3839347
Utah Jazz,Vivint Smart Home Arena,"Salt Lake City, Utah","18,306",1991.0,Salt Lake City, Utah,40.7596198,-111.8867975
Washington Wizards,Capital One Arena,"Washington, D.C.","20,356",1997.0,Washington, D.C.,38.8937936,-76.9879976
